3700	RG	Frag: ein Ticket nach London	i want a ticket to london	correct	correct
3743	RG	Frag: ein Ticket nach London	i want a ticket to london	correct	correct
4196	RG	Frag: ein Ticket nach London	do you have a ticket to london	correct	correct
4398	RG	Frag: ein Ticket nach London	i want one ticket to london	correct	correct
4685	RG	Frag: ein Ticket nach London	can i have a ticket to london	correct	correct
3995	RG	Sag: Ich möchte in der fünften Reihe sitzen	i would like to sit in the fifth row	correct	correct
4420	RG	Sag: Ich möchte in der fünften Reihe sitzen	i would like to sit in the fifth row	correct	correct
4421	RG	Sag: Ich möchte in der fünften Reihe sitzen	i want to sit in the fifth row	correct	correct
3913	RG	Frag: ein T-Shirt	i want a tee shirt	correct	correct
3924	RG	Frag: ein T-Shirt	i want a tee shirt	correct	correct
3935	RG	Frag: ein T-Shirt	i want a tee shirt	correct	correct
4270	RG	Frag: ein T-Shirt	i would like a tee shirt	correct	correct
4271	RG	Frag: ein T-Shirt	i would like a tee shirt	correct	correct
4272	RG	Frag: ein T-Shirt	i would like a tee shirt	correct	correct
4350	RG	Frag: ein T-Shirt	i want a tee shirt	correct	correct
4443	RG	Frag: ein T-Shirt	i would like a tee shirt	correct	correct
4444	RG	Frag: ein T-Shirt	i would like a tee shirt	correct	correct
4281	RG	Frag: pinkige Hosen	i would like pink trousers	correct	correct
4454	RG	Frag: blaue Sandalen	blue sandals	correct	correct
4319	RG	Frag: 4 Tickets für das Phantom der Oper	i want four tickets for the phantom of the opera	correct	correct
4108	RG	Sag: Ich möchte um 16 Uhr morgen abreisen	i would like to leave tomorrow at four p m	correct	correct
4199	RG	Sag: Ich möchte um 16 Uhr morgen abreisen	i would like to leave tomorrow at four p m	correct	correct
4403	RG	Sag: Ich bin aus der Schweiz	i am from switzerland switzerland	correct	correct
3634	RG	Frag: 5 Tickets	five tickets	correct	correct
3880	RG	Frag: Ich möchte die Dessertkarte	the dessert menu	correct	correct
4571	RG	Frag: Ich möchte die Dessertkarte	the dessert menu	correct	correct
4578	RG	Frag: Ich möchte die Dessertkarte	can i have the dessert menu	correct	correct
4588	RG	Frag: Ich möchte die Dessertkarte	can i have the dessert menu	correct	correct
4589	RG	Frag: Ich möchte die Dessertkarte	can i have the dessert menu	correct	correct
4590	RG	Frag: Ich möchte die Dessertkarte	the dessert menu	correct	correct
4602	RG	Frag: Ich möchte die Dessertkarte	can i have the dessert menu	correct	correct
4613	RG	Frag: Ich möchte die Dessertkarte	can i have the dessert menu	correct	correct
4614	RG	Frag: Ich möchte die Dessertkarte	can i have the dessert menu	correct	correct
4419	RG	Frag: ein Ticket für Mamma Mia	i want one ticket for mamma mia	correct	correct
3970	RG	Sag: Ich möchte am Freitagmorgen abreisen	i want to leave on friday morning	correct	correct
3814	RG	Sag: Ich habe 2 jüngere Schwestern	i have two younger sisters	correct	correct
3824	RG	Sag: Ich möchte in der vierten Reihe sitzen	i would like to sit in the fourth row	correct	correct
4545	RG	Sag: Ich möchte in der vierten Reihe sitzen	i would like to sit in the fourth row	correct	correct
4278	RG	Frag: Grösse 42	forty two	correct	correct
4201	RG	Sag: Ich bin aus Kanada	i am from canada	correct	correct
3811	RG	Sag: Ich heisse Barbara	my name is barbara	correct	correct
4481	RG	Sag: Ich heisse Barbara	my name is barbara	correct	correct
3872	RG	Frag: einen Orangensaft	i want an orange juice	correct	correct
4523	RG	Sag: Ich habe nur grosse Noten	i only have large notes	correct	correct
3632	RG	Sag: Ich möchte in der zweiten Reihe sitzen	i would like to sit in the second row	correct	correct
3832	RG	Sag: Ich möchte in der zweiten Reihe sitzen	i want to sit in the second row	correct	correct
3695	RG	Frag: 3 Tickets nach London	i would like three tickets to london	correct	correct
4479	RG	Frag: 3 Tickets nach London	can i have three tickets to london	correct	correct
4696	RG	Frag: 3 Tickets nach London	can i have three tickets to london	correct	correct
3805	RG	Frag: Stiefel	i would like some boots	correct	correct
3910	RG	Frag: Stiefel	i want boots	correct	correct
3932	RG	Frag: Stiefel	i want boots	correct	correct
4267	RG	Frag: Stiefel	i would like some boots	correct	correct
4439	RG	Frag: Stiefel	i would like boots	correct	correct
4660	RG	Frag: Stiefel	i would like boots	correct	correct
3735	RG	Sag: Ich möchte mit Dollars bezahlen	can i pay with dollars	correct	correct
3606	RG	Frag: mein Steak rare	i would like my steak rare	correct	correct
4608	RG	Frag: mein Steak rare	i would like my steak rare	correct	correct
3934	RG	Frag: Grösse 39	thirty nine	correct	correct
4652	RG	Frag: Grösse 39	thirty nine	correct	correct
4583	RG	Frag: eine Fanta	can i have a fanta	correct	correct
4577	RG	Sag: Dies ist nicht was ich bestellt habe	this is not what i ordered	correct	correct
4600	RG	Sag: Dies ist nicht was ich bestellt habe	this is not what i ordered	correct	correct
4612	RG	Sag: Dies ist nicht was ich bestellt habe	this is not what what i ordered	correct	correct
3644	RG	Sag: Ich bin aus Österreich	i am from austria	correct	correct
4111	RG	Sag: Ich bin aus Österreich	i am from austria	correct	correct
4305	RG	Sag: Ich bin aus Österreich	i am from austria	correct	correct
4475	RG	Sag: Ich bin aus Österreich	i am from austria	correct	correct
4506	RG	Sag: Ich bin aus Österreich	i am from austria	correct	correct
3620	RG	Sag: Ich möchte um 21 Uhr morgen abreisen	i want to leave at nine o'clock tomorrow	correct	correct
3709	RG	Sag: Ich habe 2 jüngere Brüder	i have two younger brothers	correct	correct
3896	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store	correct	correct
4024	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store	correct	correct
4116	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store	correct	correct
4117	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store	correct	correct
4177	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store	correct	correct
4385	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store store	correct	correct
4166	RG	Frag: Gibt es ein Schwimmbad?	do you have a swimming pool	correct	correct
3825	RG	Frag: Tickets für das London Eye	i want tickets for the london eye	correct	correct
3907	RG	Frag: Tickets für das London Eye	can i have tickets for the london eye	correct	correct
4073	RG	Frag: Tickets für das London Eye	can i have tickets for the london eye	correct	correct
4322	RG	Frag: Tickets für das London Eye	tickets for the london eye	correct	correct
4323	RG	Frag: Tickets für das London Eye	tickets for the london eye	correct	correct
4324	RG	Frag: Tickets für das London Eye	can i have tickets for the london eye	correct	correct
4302	RG	Sag: Ich möchte am Sonntagnachmittag abreisen	i would like to leave on sunday afternoon	correct	correct
3849	RG	Frag: Tickets für das Science Museum	i want tickets for the science museum	correct	correct
3996	RG	Frag: Tickets für das Science Museum	i need tickets for the science museum	correct	correct
4206	RG	Sag: Ich habe 2 ältere Schwestern	i have two older sisters	correct	correct
3803	RG	Sag: Mir geht es gut	i am fine	correct	correct
3909	RG	Sag: Mir geht es gut	i am fine	correct	correct
3920	RG	Sag: Mir geht es gut	i am fine	correct	correct
3931	RG	Sag: Mir geht es gut	i am fine	correct	correct
3940	RG	Sag: Mir geht es gut	i am fine	correct	correct
4344	RG	Sag: Mir geht es gut	i am good	correct	correct
4438	RG	Sag: Mir geht es gut	i am good	correct	correct
4659	RG	Sag: Mir geht es gut	i am fine	correct	correct
4698	RG	Sag: Ich heisse Paolo	my name is paolo	correct	correct
4508	RG	Sag: Österreich ist in Europa	austria is in europe	correct	correct
4112	RG	Sag: Ich heisse Erica	my name is erica	correct	correct
4497	RG	Sag: Ich heisse Erica	my name is erica	correct	correct
3717	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	correct	correct
3718	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	correct	correct
3786	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	correct	correct
3795	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	correct	correct
3905	RG	Frag: ein Ticket für Starlight Express	a ticket for starlight express	correct	correct
3697	RG	Sag: Ich heisse Sarah	my name is sarah	correct	correct
3698	RG	Sag: Ich heisse Sarah	my name is sarah	correct	correct
3952	RG	Sag: Ich heisse Sarah	my name is sarah	correct	correct
4700	RG	Sag: Ich heisse Sarah	my name is sarah	correct	correct
3945	RG	Frag: Hosen	i am looking for trousers	correct	correct
