3811	RG	Sag: Ich heisse Barbara	my name is barbara	True	True	True
4481	RG	Sag: Ich heisse Barbara	my name is barbara	True	True	True
3688	RG	Sag: Ich möchte mit Schweizer Franken bezahlen	can i pay with swiss francs	True	True	True
3798	RG	Sag: Ich möchte mit Schweizer Franken bezahlen	can i pay with swiss francs	True	True	True
4530	RG	Sag: Ich möchte mit Schweizer Franken bezahlen	can i pay with swiss francs	True	True	True
3933	RG	Frag: braune Stiefel	i want brown boots	True	True	True
3744	RG	Sag: Ich möchte um 12 Uhr morgen abreisen	i want to leave tomorrow at noon	True	True	True
3922	RG	Frag: rote Sandalen	i want red sandals	True	True	True
4276	RG	Frag: rote Sandalen	i would like red sandals	True	True	True
4277	RG	Frag: rote Sandalen	red sandals	True	True	True
4651	RG	Frag: rote Sandalen	i would like red sandals	True	True	True
3701	RG	Sag: Ich möchte am Sonntag abreisen	i would like to leave on sunday	True	True	True
4477	RG	Sag: Ich möchte am Sonntag abreisen	i want to leave on sunday	True	True	True
4003	RG	Sag: Ich möchte hinten sitzen	i want to sit in the back	True	True	True
3690	RG	Frag: Zimmer für 7 Nächte	i want a room for seven nights	True	True	True
3782	RG	Frag: Zimmer für 7 Nächte	a room for seven nights	True	True	True
4000	RG	Frag: 2 Tickets für Mamma Mia	i need two tickets for mamma mia	True	True	True
3576	RG	Sag: Ich möchte am Montagabend gehen	i would like to go on monday night	True	True	True
3577	RG	Sag: Ich möchte am Montagabend gehen	i would like to go on monday night	True	True	True
3874	RG	Frag: meinen Hamburger rare	i want my hamburger rare	True	True	True
4329	RG	Frag: meinen Hamburger rare	i would like my hamburger rare	True	True	True
4330	RG	Frag: meinen Hamburger rare	i would like my hamburger rare	True	True	True
4331	RG	Frag: meinen Hamburger rare	i would like my hamburger rare	True	True	True
4152	RG	Sag: Im Zimmer hat es kein Shampoo	in the room there is no shampoo	True	True	True
4153	RG	Sag: Im Zimmer hat es kein Shampoo	there is no shampoo in the room	True	True	True
4154	RG	Sag: Im Zimmer hat es kein Shampoo	there is no shampoo in the room	True	True	True
4507	RG	Sag: Österreich ist nicht in Afrika	austria is not in africa	True	True	True
4669	RG	Sag: Das Hemd ist zu teuer	the shirt is too expensive	True	True	True
3704	RG	Sag: Ich heisse Brian	my name is brian	True	True	True
4583	RG	Frag: eine Fanta	can i have a fanta	True	True	True
4577	RG	Sag: Dies ist nicht was ich bestellt habe	this is not what i ordered	True	True	True
4600	RG	Sag: Dies ist nicht was ich bestellt habe	this is not what i ordered	True	True	True
4612	RG	Sag: Dies ist nicht was ich bestellt habe	this is not what what i ordered	True	True	True
3917	RG	Frag: eine L	i am a large	True	True	True
3928	RG	Frag: eine L	i am a large	True	True	True
4667	RG	Frag: eine L	i am a large	True	True	True
3673	RG	Sag: Ich habe keine Reservation	i do not have a reservation	True	True	True
3689	RG	Sag: Ich habe keine Reservation	i do not have a reservation	True	True	True
