Frag: billigeres Ticket 	 ADJA NN  	 ADJ NOUN  	 Ask for: a cheaper ticket 	 DT JJR NN  	 DET ADJ NOUN  	 162 	 0 	 0 
Frag: billiges Ticket 	 ADJA NN  	 ADJ NOUN  	 Ask for: a cheap ticket 	 DT JJ NN  	 DET ADJ NOUN  	 162 	 1 	 1 
Frag: Wie viel kostet es? 	 PWAV PIS VVFIN PPER $.  	 ADV PRON VERB PRON PUNCT  	 Ask for: how much does it cost? 	 WRB JJ VBZ PRP VB .  	 ADV ADJ VERB PRON VERB PUNCT  	 4 	 5 	 3 
Sag: Ich möchte am Montag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on monday 	 PRP VBP TO VB IN NN  	 PRON VERB PART VERB ADP NOUN  	 10 	 1 	 0 
Sag: Ich möchte am Montagmorgen abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on monday morning 	 PRP VBP TO VB IN NN NN  	 PRON VERB PART VERB ADP NOUN NOUN  	 10 	 0 	 0 
Sag: Ich möchte am Montagnachmittag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on monday afternoon 	 PRP VBP TO VB IN NN NN  	 PRON VERB PART VERB ADP NOUN NOUN  	 10 	 1 	 0 
Sag: Ich möchte am Montagabend abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on monday evening 	 PRP VBP TO VB IN NN NN  	 PRON VERB PART VERB ADP NOUN NOUN  	 10 	 2 	 0 
Sag: Ich möchte am Dienstag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on tuesday 	 PRP VBP TO VB IN NN  	 PRON VERB PART VERB ADP NOUN  	 10 	 1 	 0 
Sag: Ich möchte am Dienstagmorgen abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on tuesday morning 	 PRP VBP TO VB IN NN NN  	 PRON VERB PART VERB ADP NOUN NOUN  	 10 	 2 	 2 
Sag: Ich möchte am Dienstagnachmittag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on tuesday afternoon 	 PRP VBP TO VB IN NN NN  	 PRON VERB PART VERB ADP NOUN NOUN  	 10 	 3 	 2 
Sag: Ich möchte am Dienstagabend abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on tuesday evening 	 PRP VBP TO VB IN NN NN  	 PRON VERB PART VERB ADP NOUN NOUN  	 10 	 4 	 1 
Sag: Ich möchte am Mittwoch abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on wednesday 	 PRP VBP TO VB IN NN  	 PRON VERB PART VERB ADP NOUN  	 10 	 1 	 0 
Sag: Ich möchte am Mittwochmorgen abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on wednesday morning 	 PRP VBP TO VB IN NN NN  	 PRON VERB PART VERB ADP NOUN NOUN  	 10 	 1 	 0 
Sag: Ich möchte am Mittwochnachmittag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on wednesday afternoon 	 PRP VBP TO VB IN NN NN  	 PRON VERB PART VERB ADP NOUN NOUN  	 10 	 0 	 0 
Sag: Ich möchte am Mittwochabend abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on wednesday evening 	 PRP VBP TO VB IN NN NN  	 PRON VERB PART VERB ADP NOUN NOUN  	 10 	 1 	 0 
Sag: Ich möchte am Donnerstag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on thursday 	 PRP VBP TO VB RP NN  	 PRON VERB PART VERB PART NOUN  	 10 	 1 	 1 
Sag: Ich möchte am Donnerstagmorgen abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on thursday morning 	 PRP VBP TO VB RP NN NN  	 PRON VERB PART VERB PART NOUN NOUN  	 10 	 2 	 0 
Sag: Ich möchte am Donnerstagnachmittag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on thursday afternoon 	 PRP VBP TO VB RP NN NN  	 PRON VERB PART VERB PART NOUN NOUN  	 10 	 2 	 1 
Sag: Ich möchte am Donnerstagabend abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on thursday evening 	 PRP VBP TO VB RB NN NN  	 PRON VERB PART VERB ADV NOUN NOUN  	 10 	 5 	 2 
Sag: Ich möchte am Freitag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on friday 	 PRP VBP TO VB IN NN  	 PRON VERB PART VERB ADP NOUN  	 10 	 2 	 1 
Sag: Ich möchte am Freitagmorgen abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on friday morning 	 PRP VBP TO VB IN NN NN  	 PRON VERB PART VERB ADP NOUN NOUN  	 10 	 1 	 0 
Sag: Ich möchte am Freitagnachmittag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on friday afternoon 	 PRP VBP TO VB IN JJ NN  	 PRON VERB PART VERB ADP ADJ NOUN  	 10 	 3 	 3 
Sag: Ich möchte am Freitagabend abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on friday evening 	 PRP VBP TO VB IN JJ NN  	 PRON VERB PART VERB ADP ADJ NOUN  	 10 	 4 	 0 
Sag: Ich möchte am Samstag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on saturday 	 PRP VBP TO VB IN NNP  	 PRON VERB PART VERB ADP PROPN  	 10 	 1 	 0 
Sag: Ich möchte am Samstagmorgen abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on saturday morning 	 PRP VBP TO VB IN NNP NN  	 PRON VERB PART VERB ADP PROPN NOUN  	 10 	 0 	 0 
Sag: Ich möchte am Samstagnachmittag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on saturday afternoon 	 PRP VBP TO VB IN NNP NN  	 PRON VERB PART VERB ADP PROPN NOUN  	 10 	 6 	 3 
Sag: Ich möchte am Samstagabend abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on saturday evening 	 PRP VBP TO VB IN JJ NN  	 PRON VERB PART VERB ADP ADJ NOUN  	 10 	 4 	 1 
Sag: Ich möchte am Sonntag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on sunday 	 PRP VBP TO VB IN NN  	 PRON VERB PART VERB ADP NOUN  	 10 	 0 	 0 
Sag: Ich möchte am Sonntagmorgen abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on sunday morning 	 PRP VBP TO VB IN NNP NN  	 PRON VERB PART VERB ADP PROPN NOUN  	 10 	 0 	 0 
Sag: Ich möchte am Sonntagnachmittag abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on sunday afternoon 	 PRP VBP TO VB IN JJ NN  	 PRON VERB PART VERB ADP ADJ NOUN  	 10 	 2 	 0 
Sag: Ich möchte am Sonntagabend abreisen 	 PPER VMFIN APPRART NN VVINF  	 PRON VERB ADP NOUN VERB  	 Ask for: I want to leave on sunday evening 	 PRP VBP TO VB IN JJ NN  	 PRON VERB PART VERB ADP ADJ NOUN  	 10 	 2 	 0 
Sag: Ich möchte morgen abreisen 	 PPER VMFIN ADV VVINF  	 PRON VERB ADV VERB  	 Ask for: I want to leave tomorrow 	 PRP VBP TO VB NN  	 PRON VERB PART VERB NOUN  	 10 	 0 	 0 
Sag: Ich möchte nächste Woche abreisen 	 PPER VMFIN ADJA NN VVINF  	 PRON VERB ADJ NOUN VERB  	 Ask for: I want to leave next week 	 PRP VBP TO VB JJ NN  	 PRON VERB PART VERB ADJ NOUN  	 10 	 1 	 0 
Sag: Ich möchte um 8 Uhr morgen abreisen 	 PPER VMFIN APPR CARD NN ADV VVINF  	 PRON VERB ADP NUM NOUN ADV VERB  	 Ask for: I want to leave tomorrow at (eight ( a m | am ) | eight o'clock) 	 PRP VBP TO VB NN IN -LRB- CD -LRB- DT NN XX VBP -RRB- UH CD NN -RRB-  	 PRON VERB PART VERB NOUN ADP PUNCT NUM PUNCT DET NOUN X VERB PUNCT INTJ NUM NOUN PUNCT  	 30 	 1 	 0 
Sag: Ich möchte um 9 Uhr morgen abreisen 	 PPER VMFIN APPR CARD NN ADV VVINF  	 PRON VERB ADP NUM NOUN ADV VERB  	 Ask for: I want to leave tomorrow at (nine ( a m | am ) | nine o'clock) 	 PRP VBP TO VB NN IN -LRB- CD -LRB- DT NN XX VBP -RRB- IN CD NN -RRB-  	 PRON VERB PART VERB NOUN ADP PUNCT NUM PUNCT DET NOUN X VERB PUNCT ADP NUM NOUN PUNCT  	 30 	 0 	 0 
Sag: Ich möchte um 10 Uhr morgen abreisen 	 PPER VMFIN APPR CARD NN ADV VVINF  	 PRON VERB ADP NUM NOUN ADV VERB  	 Ask for: I want to leave tomorrow at (ten ( a m | am ) | ten o'clock) 	 PRP VBP TO VB NN IN -LRB- CD -LRB- DT NN XX VBP -RRB- ADD CD NN -RRB-  	 PRON VERB PART VERB NOUN ADP PUNCT NUM PUNCT DET NOUN X VERB PUNCT X NUM NOUN PUNCT  	 30 	 0 	 0 
Sag: Ich möchte um 11 Uhr morgen abreisen 	 PPER VMFIN APPR CARD NN ADV VVINF  	 PRON VERB ADP NUM NOUN ADV VERB  	 Ask for: I want to leave tomorrow at (eleven ( a m | am ) | eleven o'clock) 	 PRP VBP TO VB NN IN -LRB- CD -LRB- DT NN XX VBP -RRB- NFP CD NN -RRB-  	 PRON VERB PART VERB NOUN ADP PUNCT NUM PUNCT DET NOUN X VERB PUNCT PUNCT NUM NOUN PUNCT  	 30 	 3 	 3 
Sag: Ich möchte um 12 Uhr morgen abreisen 	 PPER VMFIN APPR CARD NN ADV VVINF  	 PRON VERB ADP NUM NOUN ADV VERB  	 Ask for: I want to leave tomorrow at (twelve ( a m | am ) | twelve o'clock | noon) 	 PRP VBP TO VB NN IN -LRB- CD -LRB- DT NN XX VBP -RRB- UH CD NN CD NN -RRB-  	 PRON VERB PART VERB NOUN ADP PUNCT NUM PUNCT DET NOUN X VERB PUNCT INTJ NUM NOUN NUM NOUN PUNCT  	 40 	 0 	 0 
Sag: Ich möchte um 13 Uhr morgen abreisen 	 PPER VMFIN APPR CARD NN ADV VVINF  	 PRON VERB ADP NUM NOUN ADV VERB  	 Ask for: I want to leave tomorrow at (one ( p m | pm ) | one o'clock) 	 PRP VBP TO VB NN IN -LRB- CD -LRB- NN NN CD NN -RRB- . CD NN -RRB-  	 PRON VERB PART VERB NOUN ADP PUNCT NUM PUNCT NOUN NOUN NUM NOUN PUNCT PUNCT NUM NOUN PUNCT  	 30 	 1 	 0 
Sag: Ich möchte um 14 Uhr morgen abreisen 	 PPER VMFIN APPR CARD NN ADV VVINF  	 PRON VERB ADP NUM NOUN ADV VERB  	 Ask for: I want to leave tomorrow at (two ( p m | pm ) | two o'clock) 	 PRP VBP TO VB NN IN -LRB- CD -LRB- NN NN CD NN -RRB- CD CD NN -RRB-  	 PRON VERB PART VERB NOUN ADP PUNCT NUM PUNCT NOUN NOUN NUM NOUN PUNCT NUM NUM NOUN PUNCT  	 30 	 5 	 5 
Sag: Ich möchte um 15 Uhr morgen abreisen 	 PPER VMFIN APPR CARD NN ADV VVINF  	 PRON VERB ADP NUM NOUN ADV VERB  	 Ask for: I want to leave tomorrow at (three ( p m | pm ) | three o'clock) 	 PRP VBP TO VB NN IN -LRB- CD -LRB- NN NN CD NN -RRB- VBP CD NN -RRB-  	 PRON VERB PART VERB NOUN ADP PUNCT NUM PUNCT NOUN NOUN NUM NOUN PUNCT VERB NUM NOUN PUNCT  	 30 	 4 	 1 
